,simTag,e-e_avg_e-1,e-i_avg_e-1,i-i_avg_e-1,e-e_std_e-1,e-i_std_e-1,i-i_std_e-1,e-e_avg_e29,e-i_avg_e29,i-i_avg_e29,e-e_std_e29,e-i_std_e29,i-i_std_e29
133,sparse080_10class_145_t5,17.357998101265824,17.4103335,17.537323684210527,1.836528162720286,2.0138781394247145,2.2216520928821146,20.930549082278482,23.258072687499997,24.429485789473677,4.174603640896674,3.3433248093193515,2.4782922745433438
134,sparse095_10class_145_t5,17.28360967525196,17.500428421052632,17.89531,1.7111201423156424,1.869881782599506,2.3504432149915893,21.343059776035833,23.060543999999997,24.12754,3.7715592484124825,2.5602460961442546,1.844484172444968
135,sparse050_10class_146_t6,17.466639836734693,17.371063,17.204939755102043,1.9039538290868998,1.7951584114219559,1.6213263671083489,22.769116653061225,25.78015348,23.20674302040816,3.1917460022594217,1.926932022547731,3.574052233274401
136,sparse080_10class_146_t6,17.659248829113924,17.154937625,16.524641052631576,1.9443661072975658,1.6406221907966378,1.3166235890572713,20.495027310126584,23.589010625,24.57202526315789,4.40944754581659,3.1279258780679426,2.6207333541333493
137,sparse095_10class_146_t6,17.786988868980966,17.388731999999997,16.82922,2.1446856788043,1.6539887398035855,0.9731489144010798,21.459360134378496,23.062659789473685,24.560430000000004,3.7239245247963035,3.620895097822601,2.171912666315108
138,sparse050_10class_147_t7,17.33698555102041,17.195061199999998,17.106296897959183,1.744994071338798,1.720840980625043,1.6546850972594205,20.437319510204084,23.63585908,24.365521142857144,4.751142454857994,3.157227682929686,2.6750763489729805
139,sparse080_10class_147_t7,17.19875018987342,17.4595888125,17.79983315789474,1.7594504119238346,1.7809183009738514,1.8346368295733273,20.61400101265823,23.0199191875,23.660333684210528,4.14723192584397,2.5001184367496654,2.0301135512763566
140,sparse095_10class_147_t7,17.620027681970882,17.506578315789476,17.26359,2.0752383893584563,2.004490647199119,1.2312700869021387,21.169743695408734,24.286456842105267,25.77286,3.7562945764594744,2.0366376971786058,1.7052320916520427
141,sparse050_10class_148_t0,18.78131714285714,18.828134279999997,18.915375020408163,1.80805578295289,1.7393134983725278,1.7374050258830769,24.139237061224488,25.99965708,24.493294530612246,2.8163007358658825,1.8987751648433455,2.931748843052118
142,sparse080_10class_148_t0,18.973851202531645,18.8378925,18.626375263157897,1.8485219363317873,1.754962971170973,1.4769934654271168,21.379714082278483,24.43034675,24.76525421052632,3.2448709086219916,2.4491174884771123,2.558267064051091
143,sparse095_10class_148_t0,19.027471243001116,18.560622315789473,18.36566,1.7905680724507766,1.4840928820014156,1.1271541227356627,21.376446427771555,21.633096000000002,21.92682,3.513698955059023,2.7261565958428884,1.7488821348507166
144,sparse050_10class_149_t1,19.022893795918367,18.899901640000003,18.817854612244897,2.030104311041294,1.8637386769870155,1.6474847208548415,25.07860775510204,26.64003264,25.86432636734694,2.811841121809524,2.06334484473697,2.6417339475548904
145,sparse080_10class_149_t1,18.890361107594938,18.9768238125,19.083074210526316,1.7908765193131697,1.8439182854730072,1.7559530333960525,21.600852468354432,28.736596,21.663722105263158,3.0798766172352816,0.5698841486183838,2.9236284851525793
146,sparse095_10class_149_t1,18.80191498320269,19.11580063157895,19.101260000000003,1.671740870226076,1.8423606305697278,1.5084369315287927,21.68368483762598,21.717707157894736,21.80607,3.6005391116850074,2.7362841415765837,2.203297800593465
147,sparse050_10class_150_t2,18.966423428571428,18.76599156,18.5399253877551,1.8470339402907017,1.621231125103625,1.3341077550704572,25.263772897959186,27.32337008,25.89077934693878,2.442980192296121,1.7314095408888084,2.662538753321107
148,sparse080_10class_150_t2,18.990920664556963,19.0847920625,19.051306315789475,1.8827761441603137,1.7989201885522175,1.5415788325992301,23.624764145569618,26.4582485,25.946886315789474,2.6270589576515255,2.1256518092658663,2.5173010475553514
149,sparse095_10class_150_t2,18.980762306830908,19.456411157894735,20.458759999999998,1.86420512354786,2.3638086046890128,2.335709178472355,21.48703099664054,23.74956484210526,24.580549999999995,3.745405080293935,2.2730979285375756,2.2348489869563894
150,sparse050_10class_151_t3,19.041899510204082,18.79609596,18.60928930612245,2.0612255607154446,1.9291088453344662,1.7099101904593297,25.442372489795922,26.36247936,26.080626775510204,2.2846246313362935,1.9281217443258065,2.0267975055831733
151,sparse080_10class_151_t3,18.91872993670886,18.79918675,18.76135684210526,1.8666467416018777,1.7527686200799402,1.6216501059854616,22.57090844936709,23.305778125000003,23.50599368421053,3.326239946132604,2.4488774899066477,1.7387325433569512
