,e-e_avg,e-i_avg,i-i_avg,e-e_std,e-i_std,i-i_std,simTag,epoch
814,38.48503995584238,36.51603576351052,36.23975821377777,13.775677873605446,11.907659084684948,8.983813173140888,SHD_095_242,199
815,36.485586598512945,40.78944533783684,44.95812420288889,12.130308233000648,12.83174043378086,12.216213082492894,SHD_095_243,199
816,0.0,,,0.0,,,SHD_100_100,-1
817,0.0,,,0.0,,,SHD_100_100,199
818,0.0,,,0.0,,,SHD_100_101,-1
819,0.0,,,0.0,,,SHD_100_101,199
820,0.0,,,0.0,,,SHD_100_102,-1
821,0.0,,,0.0,,,SHD_100_102,199
822,0.0,,,0.0,,,SHD_100_103,-1
823,0.0,,,0.0,,,SHD_100_103,199
824,0.0,,,0.0,,,SHD_100_104,-1
825,0.0,,,0.0,,,SHD_100_104,199
826,0.0,,,0.0,,,SHD_100_105,-1
827,0.0,,,0.0,,,SHD_100_105,199
828,0.0,,,0.0,,,SHD_100_106,-1
829,0.0,,,0.0,,,SHD_100_106,199
830,0.0,,,0.0,,,SHD_100_107,199
831,0.0,,,0.0,,,SHD_100_108,-1
832,0.0,,,0.0,,,SHD_100_108,199
833,0.0,,,0.0,,,SHD_100_109,-1
834,0.0,,,0.0,,,SHD_100_109,199
835,0.0,,,0.0,,,SHD_100_110,-1
836,0.0,,,0.0,,,SHD_100_110,199
837,0.0,,,0.0,,,SHD_100_111,-1
838,0.0,,,0.0,,,SHD_100_111,199
839,0.0,,,0.0,,,SHD_100_112,-1
840,0.0,,,0.0,,,SHD_100_112,199
841,0.0,,,0.0,,,SHD_100_113,-1
842,0.0,,,0.0,,,SHD_100_113,199
843,0.0,,,0.0,,,SHD_100_114,-1
844,0.0,,,0.0,,,SHD_100_114,199
845,0.0,,,0.0,,,SHD_100_115,199
846,0.3695033440100503,,,0.5202156966194673,,,SHD_100_116,-1
847,19.38867088784472,,,11.012617559332888,,,SHD_100_116,199
848,0.5472662715894473,,,0.801029359000179,,,SHD_100_117,-1
849,19.82811556234221,,,11.807707081837847,,,SHD_100_117,199
850,2.271129718203015,,,1.574916963630655,,,SHD_100_118,-1
851,14.850550176525628,,,8.800000081959714,,,SHD_100_118,199
852,1.4493099120050252,,,1.545592484022765,,,SHD_100_119,-1
853,25.790333237757288,,,17.710464600777726,,,SHD_100_119,199
854,0.6809510016733669,,,0.8453009760177744,,,SHD_100_120,-1
855,18.29904486388241,,,12.583185476404386,,,SHD_100_120,199
856,0.7185227760070352,,,0.5775575863720724,,,SHD_100_121,-1
857,22.363523669438695,,,9.788987937430448,,,SHD_100_121,199
858,0.06427486692060302,,,0.29833310943069224,,,SHD_100_122,-1
859,19.89274704097538,,,12.741562625026743,,,SHD_100_122,199
860,18.35778428737186,,,11.74228239806864,,,SHD_100_123,199
861,29.941497300632665,,,10.94663188099137,,,SHD_100_124,-1
862,23.60167874290402,,,11.935353844406299,,,SHD_100_124,199
863,40.090751952081405,,,13.57831272499713,,,SHD_100_125,-1
864,27.66869827819799,,,12.516603181056198,,,SHD_100_125,199
865,35.487343016550255,,,12.045048863158332,,,SHD_100_126,-1
